iot.id,name,description,Datastreams
666046c9a81c7312ce349136,CM2-PK-006-C02,ซอยปุณณวิถี 47-CAM2,
666046ca9efb8d1af6b401ed,CM2-PK-006-C03,ซอยปุณณวิถี 47-CAM3,
666046ca9efb8d1af6b401ee,CM2-PK-006-C04,ซอยปุณณวิถี 47-CAM4,
666046cb9efb8d1af6b401f3,CM2-PK-019-C03,ชุมชนสุภาพงษ์ (1)-CAM3,
666046cba9ff45d3521c4a46,CM2-PK-009-C04,ซอยวชิรธรรมสาธิต 27-29-CAM4,
666046cca81c7312ce349146,CM2-PK-019-C04,ชุมชนสุภาพงษ์ (1)-CAM4,
666046cca81c7312ce34914a,CM2-PK-022-C04,ชุมชนหมู่บ้านการท่าเรือ (2)-CAM4,
666046cd9efb8d1af6b401fd,CM2-PK-025-C01,ชุมชนเชลียง 5 (1)-CAM1,
666046cda81c7312ce34914f,CM2-PK-025-C02,ชุมชนเชลียง 5 (1)-CAM2,
666046cea81c7312ce349152,CM2-PK-025-C03,ชุมชนเชลียง 5 (1)-CAM3,
666046cf9efb8d1af6b40208,CM2-PK-025-C04,ชุมชนเชลียง 5 (1)-CAM4,
666046cfa9ff45d3521c4a51,CM2-PK-055-C04,ชุมชนหมู่บ้านไทยอาคาร (1)-CAM4,
666046d0a81c7312ce34915b,CM2-PK-063-C04,ชุมชนทุ่งสาธิต (1)-CAM4,
666046d0a9ff45d3521c4a55,CM2-PK-056-C02,ชุมชนหมู่บ้านไทยอาคาร (2)-CAM2,
666046d19efb8d1af6b40213,CM2-PK-065-C03,ซอยสุขุมวิท 64 แยก 5-CAM3,
666046d1a81c7312ce34915f,CM2-PK-072-C01,ชุมชนหมู่บ้านศรัณจิต 4 (2)-CAM1,
666046d29efb8d1af6b4021c,CM2-PK-076-C01,ชุมชนเยี่ยมเจริญสุข (2)-CAM1,
666046d39efb8d1af6b4021f,CM2-PK-076-C02,ชุมชนเยี่ยมเจริญสุข (2)-CAM2,
666046d39efb8d1af6b40221,CM2-PK-076-C03,ชุมชนเยี่ยมเจริญสุข (2)-CAM3,
666046d4a81c7312ce34916d,CM2-PK-076-C04,ชุมชนเยี่ยมเจริญสุข (2)-CAM4,
666046d4a81c7312ce349172,CM2-PT-043-C01,หน้าสมาคมราชกีฑาสโมสรประตู 1 ถนนอังรีดูนัง-CAM1,
666046d4a81c7312ce349176,CM2-PT-043-C02,หน้าสมาคมราชกีฑาสโมสรประตู 1 ถนนอังรีดูนัง-CAM2,
666046d59efb8d1af6b40228,CM2-PT-043-C03,หน้าสมาคมราชกีฑาสโมสรประตู 1 ถนนอังรีดูนัง-CAM3,
666046d59efb8d1af6b4022b,CM2-PT-043-C04,หน้าสมาคมราชกีฑาสโมสรประตู 1 ถนนอังรีดูนัง-CAM4,
666046d6a81c7312ce349182,CM2-PT-051-C01,ชุมชนวัดชัยมงคล (2)-CAM1,
666046d6a81c7312ce349185,CM2-PT-051-C02,ชุมชนวัดชัยมงคล (2)-CAM2,
666046d7a81c7312ce349188,CM2-PT-051-C03,ชุมชนวัดชัยมงคล (2)-CAM3,
666046d7a81c7312ce34918c,CM2-PT-051-C04,ชุมชนวัดชัยมงคล (2)-CAM4,
666046d89efb8d1af6b40237,CM2-ST-018-C04,ซอยสาธุประดิษฐ์ 12 (ประสานมิตร)-CAM4,
666046d8a81c7312ce34918f,CM2-ST-003-C02,ปากซอยเจริญกรุง 63-CAM2,
666046d9a81c7312ce349194,CM2-ST-037-C01,ปากซอยเย็นอากาศ 3-CAM1,
666046d9a81c7312ce349197,CM2-ST-037-C02,ปากซอยเย็นอากาศ 3-CAM2,
666046daa81c7312ce34919c,CM2-ST-037-C03,ปากซอยเย็นอากาศ 3-CAM3,
666046dba81c7312ce3491a4,CM2-ST-038-C01,ปากซอยสาธุประดิษฐ์ 12 (ประสานมิตร)-CAM1,
666046dba9ff45d3521c4a6e,CM2-ST-037-C04,ปากซอยเย็นอากาศ 3-CAM4,
666046dca9ff45d3521c4a71,CM2-ST-038-C02,ปากซอยสาธุประดิษฐ์ 12 (ประสานมิตร)-CAM2,
666046dda81c7312ce3491ab,CM2-ST-038-C03,ปากซอยสาธุประดิษฐ์ 12 (ประสานมิตร)-CAM3,
